NO,Result,Reason
AB_1981,Yes,Study-related resources indicated via URL
AB_1982,Yes,Study-related resources indicated via URL
AB_1983,Yes,Study-related resources indicated via URL
AB_1984,Yes,Study-related resources indicated via URL
AB_1985,Yes,Study-related resources indicated via URL
AB_1986,Yes,Study-related resources indicated via URL
AB_1987,Yes,Study-related resources indicated via URL
AB_1988,Yes,Study-related resources indicated via URL
AB_1989,Yes,Study-related resources indicated via URL
AB_1990,Yes,Study-related resources indicated via URL
