NO,Result,Reason
AB_0691,No URL found,No explicit http/https URL found
AB_0692,Yes,Study data or code available at URL
AB_0693,Yes,Research-related materials plausibly available at URL
AB_0694,No URL found,No explicit http/https URL found
AB_0695,No URL found,No explicit http/https URL found
AB_0696,Yes,Research-related materials plausibly available at URL
AB_0697,Yes,Study data or code available at URL
AB_0698,Yes,Research-related materials plausibly available at URL
AB_0699,Yes,Study data or code available at URL
AB_0700,Yes,Research-related materials plausibly available at URL
