NO,Result,Reason
AB_1621,Yes,Study-related resources available at URL
AB_1622,Yes,Study dataset available via DOI repository URL
AB_1623,Yes,Study code available at GitHub repository URL
AB_1624,Yes,Study code available at GitHub repository URL
AB_1625,Yes,Study code available at GitHub repository URL
AB_1626,Yes,Study code available at GitHub repository URL
AB_1627,Yes,Study code available at GitHub repository URL
AB_1628,Yes,Study code available at GitHub repository URL
AB_1629,Yes,Study code available at GitHub repository URL
AB_1630,Yes,Study code available at GitHub repository URL
