NO,Result,Reason
AB_3891,Yes,Study data or materials available at URL
AB_3892,Yes,Study data or materials available at URL
AB_3893,No URL found,No explicit http/https URL found
AB_3894,Yes,Study data or materials available at URL
AB_3895,Yes,Study data or materials available at URL
AB_3896,Yes,URL plausibly provides research-related outputs
AB_3897,Yes,Study data or materials available at URL
AB_3898,Yes,Study data or materials available at URL
AB_3899,Yes,URL plausibly provides research-related outputs
AB_3900,Yes,Study data or materials available at URL
