NO,Result,Reason
AB_2641,Yes,"Study data, code, or resources available at repository or project URL"
AB_2642,Yes,"Study data, code, or resources available at repository or project URL"
AB_2643,Yes,"Study data, code, or resources available at repository or project URL"
AB_2644,Yes,"Study data, code, or resources available at repository or project URL"
AB_2645,Yes,"Study data, code, or resources available at repository or project URL"
AB_2646,Yes,"Study data, code, or resources available at repository or project URL"
AB_2647,Yes,"Study data, code, or resources available at repository or project URL"
AB_2648,Yes,"Study data, code, or resources available at repository or project URL"
AB_2649,Yes,"Study data, code, or resources available at repository or project URL"
AB_2650,Yes,"Study data, code, or resources available at repository or project URL"
