NO,Result,Reason
AB_1291,Yes,URL plausibly provides research-related outputs
AB_1292,Yes,"Study data, code, or materials indicated at URL"
AB_1293,Yes,"Study data, code, or materials indicated at URL"
AB_1294,Yes,URL plausibly provides research-related outputs
AB_1295,Yes,"Study data, code, or materials indicated at URL"
AB_1296,Yes,"Study data, code, or materials indicated at URL"
AB_1297,Yes,"Study data, code, or materials indicated at URL"
AB_1298,Yes,URL plausibly provides research-related outputs
AB_1299,Yes,URL plausibly provides research-related outputs
AB_1300,Yes,"Study data, code, or materials indicated at URL"
