NO,Result,Reason
AB_3741,Yes,Study data or materials available at URL
AB_3742,No URL found,No explicit http/https URL found
AB_3743,Yes,Study data or materials available at URL
AB_3744,Yes,Study data or materials available at URL
AB_3745,Yes,Study data or materials available at URL
AB_3746,Yes,Study data or materials available at URL
AB_3747,Yes,Study data or materials available at URL
AB_3748,Yes,Study data or materials available at URL
AB_3749,Yes,Study data or materials available at URL
AB_3750,Yes,Study data or materials available at URL
