NO,Result,Reason
AB_0891,Yes,Study resources available at project website URL
AB_0892,Yes,Study data or code available at URL
AB_0893,Yes,Study resources available at project website URL
AB_0894,Yes,Study data or code available at URL
AB_0895,Yes,Study data or code available at repository URL
AB_0896,No URL found,No explicit http/https URL found
AB_0897,Yes,Research-related materials plausibly available at URL
AB_0898,Yes,Study data or code available at URL
AB_0899,Yes,Study data or code available at URL
AB_0900,Yes,Study data or code available at URL
