NO,Result,Reason
AB_0101,Yes,Study data or materials available at repository URL
AB_0102,Yes,Study data or materials available at repository URL
AB_0103,Yes,Study data or materials available at repository URL
AB_0104,Yes,Study data or materials available at repository URL
AB_0105,Yes,Study data or materials available at repository URL
AB_0106,Yes,Study data or materials available at repository URL
AB_0107,Yes,Study data or materials available at repository URL
AB_0108,Yes,Study data or materials available at repository URL
AB_0109,Yes,Study data or materials available at repository URL
AB_0110,Yes,Study data or materials available at repository URL
