NO,Result,Reason
AB_3001,Yes,"Study data, code, or resources available at repository or project URL"
AB_3002,Yes,"Study data, code, or resources available at repository or project URL"
AB_3003,Yes,"Study data, code, or resources available at repository or project URL"
AB_3004,Yes,"Study data, code, or resources available at repository or project URL"
AB_3005,Yes,"Study data, code, or resources available at repository or project URL"
AB_3006,Yes,"Study data, code, or resources available at repository or project URL"
AB_3007,Yes,"Study data, code, or resources available at repository or project URL"
AB_3008,Yes,"Study data, code, or resources available at repository or project URL"
AB_3009,Yes,"Study data, code, or resources available at repository or project URL"
AB_3010,Yes,"Study data, code, or resources available at repository or project URL"
