NO,Result,Reason
AB_2961,Yes,"Study data, code, or resources available at repository or project URL"
AB_2962,Yes,"Study data, code, or resources available at repository or project URL"
AB_2963,Yes,"Study data, code, or resources available at repository or project URL"
AB_2964,Yes,"Study data, code, or resources available at repository or project URL"
AB_2965,Yes,"Study data, code, or resources available at repository or project URL"
AB_2966,Yes,"Study data, code, or resources available at repository or project URL"
AB_2967,Yes,"Study data, code, or resources available at repository or project URL"
AB_2968,Yes,"Study data, code, or resources available at repository or project URL"
AB_2969,Yes,"Study data, code, or resources available at repository or project URL"
AB_2970,Yes,"Study data, code, or resources available at repository or project URL"
