NO,Result,Reason
AB_1541,Yes,Study dataset available at NITRC repository URL
AB_1542,Yes,Study code available at GitHub repository URL
AB_1543,Yes,Study code available at GitHub repository URL
AB_1544,Yes,Study code available at GitHub repository URL
AB_1545,Yes,Study code available at GitHub repository URL
AB_1546,Yes,Study dataset available at GitHub repository URL
AB_1547,No,"URL explicitly refers to clinical trial registration, not study outputs"
AB_1548,Yes,Study code available at GitHub repository URL
AB_1549,Yes,Study code available at GitHub repository URL
AB_1550,Yes,Study code available at GitHub repository URL
