NO,Result,Reason
AB_0161,Yes,Study data or materials available at repository URL
AB_0162,Yes,Study data or materials available at repository URL
AB_0163,Yes,Study data or materials available at repository URL
AB_0164,Yes,Study data or materials available at repository URL
AB_0165,Yes,Study data or materials available at repository URL
AB_0166,Yes,Study data or materials available at repository URL
AB_0167,Yes,Study data or materials available at repository URL
AB_0168,Yes,Study data or materials available at repository URL
AB_0169,Yes,Study data or materials available at repository URL
AB_0170,No,URL explicitly refers to non-output resource or no indication of study outputs
