NO,Result,Reason
AB_2281,Yes,"Study data, code, or resources available at repository URL"
AB_2282,Yes,"Study data, code, or resources available at repository URL"
AB_2283,Yes,"Study data, code, or resources available at repository URL"
AB_2284,Yes,"Study data, code, or resources available at repository URL"
AB_2285,Yes,"Study data, code, or resources available at repository URL"
AB_2286,Yes,"Study data, code, or resources available at repository URL"
AB_2287,Yes,"Study data, code, or resources available at repository URL"
AB_2288,Yes,"Study data, code, or resources available at repository URL"
AB_2289,Yes,"Study data, code, or resources available at repository URL"
AB_2290,Yes,"Study data, code, or resources available at repository URL"
