NO,Result,Reason
AB_0661,Yes,Study data or code available at URL
AB_0662,Yes,Study data or code available at URL
AB_0663,No URL found,No explicit http/https URL found
AB_0664,Yes,Study data or code available at URL
AB_0665,Yes,Research-related materials plausibly available at URL
AB_0666,Yes,Research-related materials plausibly available at URL
AB_0667,Yes,Study data or code available at URL
AB_0668,Yes,Study data or code available at URL
AB_0669,No,URL explicitly refers to third-party registry without study outputs
AB_0670,No,URL explicitly refers to third-party registry without study outputs
