NO,Result,Reason
AB_2071,Yes,Study-related resources indicated via URL
AB_2072,Yes,Study-related resources indicated via URL
AB_2073,Yes,Study-related resources indicated via URL
AB_2074,Yes,Study-related resources indicated via URL
AB_2075,Yes,Study-related resources indicated via URL
AB_2076,Yes,Study-related resources indicated via URL
AB_2077,Yes,Study-related resources indicated via URL
AB_2078,Yes,Study-related resources indicated via URL
AB_2079,Yes,Study-related resources indicated via URL
AB_2080,Yes,Study-related resources indicated via URL
