NO,Result,Reason
AB_3451,Yes,Study data or materials available at URL
AB_3452,Yes,Study data or materials available at URL
AB_3453,Yes,Study data or materials available at URL
AB_3454,Yes,Study data or materials available at URL
AB_3455,Yes,Study data or materials available at URL
AB_3456,Yes,Study data or materials available at URL
AB_3457,Yes,Study data or materials available at URL
AB_3458,No URL found,No explicit http/https URL found
AB_3459,Yes,Study data or materials available at URL
AB_3460,Yes,Study data or materials available at URL
