NO,Result,Reason
AB_1681,Yes,Study-related resources available at URL
AB_1682,Yes,Study-related resources available at URL
AB_1683,Yes,Study code available at GitHub repository URL
AB_1684,Yes,Study-related resources available at URL
AB_1685,Yes,Study-related resources available at URL
AB_1686,Yes,Study dataset available via DOI repository URL
AB_1687,Yes,Study-related resources available at URL
AB_1688,Yes,Study-related resources available at URL
AB_1689,Yes,Study-related resources available at URL
AB_1690,Yes,Study code available at GitHub repository URL
