NO,Result,Reason
AB_0221,Yes,Study data or materials available at repository URL
AB_0222,Yes,Study data or materials available at repository URL
AB_0223,Yes,Study data or materials available at repository URL
AB_0224,Yes,Study data or materials available at repository URL
AB_0225,Yes,Study data or materials available at repository URL
AB_0226,Yes,Study data or materials available at repository URL
AB_0227,Yes,Study data or materials available at repository URL
AB_0228,Yes,Study data or materials available at repository URL
AB_0229,Yes,Study data or materials available at repository URL
AB_0230,Yes,Study data or materials available at repository URL
