NO,Result,Reason
AB_3581,Yes,Study data or materials available at URL
AB_3582,Yes,Study data or materials available at URL
AB_3583,Yes,Study data or materials available at URL
AB_3584,Yes,Study data or materials available at URL
AB_3585,Yes,Study data or materials available at URL
AB_3586,Yes,Study data or materials available at URL
AB_3587,Yes,Study data or materials available at URL
AB_3588,Yes,Study data or materials available at URL
AB_3589,Yes,Study data or materials available at URL
AB_3590,Yes,Study data or materials available at URL
