NO,Result,Reason
AB_3241,Yes,Study data or materials available at URL
AB_3242,Yes,Study data or materials available at URL
AB_3243,Yes,Study data or materials available at URL
AB_3244,Yes,Study data or materials available at URL
AB_3245,Yes,Study data or materials available at URL
AB_3246,Yes,Study data or materials available at URL
AB_3247,No,URL present but no research outputs indicated
AB_3248,Yes,Study data or materials available at URL
AB_3249,Yes,Study data or materials available at URL
AB_3250,Yes,Study data or materials available at URL
