NO,Result,Reason
AB_3971,Yes,Study data or materials available at URL
AB_3972,Yes,Study data or materials available at URL
AB_3973,Yes,Study data or materials available at URL
AB_3974,Yes,Study data or materials available at URL
AB_3975,Yes,Study data or materials available at URL
AB_3976,Yes,Study data or materials available at URL
AB_3977,Yes,Study data or materials available at URL
AB_3978,Yes,Study data or materials available at URL
AB_3979,Yes,Study data or materials available at URL
AB_3980,Yes,Study data or materials available at URL
