NO,Result,Reason
AB_3901,No URL found,No explicit http/https URL found
AB_3902,Yes,Study data or materials available at URL
AB_3903,Yes,Study data or materials available at URL
AB_3904,Yes,Study data or materials available at URL
AB_3905,Yes,URL plausibly provides research-related outputs
AB_3906,Yes,Study data or materials available at URL
AB_3907,Yes,Study data or materials available at URL
AB_3908,Yes,Study data or materials available at URL
AB_3909,Yes,Study data or materials available at URL
AB_3910,Yes,Study data or materials available at URL
