NO,Result,Reason
AB_1691,Yes,Study-related resources available at URL
AB_1692,Yes,Study code available at GitHub repository URL
AB_1693,Yes,Study-related resources available at URL
AB_1694,No,"URL explicitly refers to registration record, not study outputs"
AB_1695,Yes,Study code available at GitHub repository URL
AB_1696,Yes,Study code available at GitHub repository URL
AB_1697,Yes,Study-related resources available at URL
AB_1698,Yes,Study code available at GitHub repository URL
AB_1699,Yes,Study-related resources available at URL
AB_1700,Yes,Study-related resources available at URL
