NO,Result,Reason
AB_2441,Yes,"Study data, code, or resources available at repository or project URL"
AB_2442,Yes,"Study data, code, or resources available at repository or project URL"
AB_2443,Yes,"Study data, code, or resources available at repository or project URL"
AB_2444,Yes,"Study data, code, or resources available at repository or project URL"
AB_2445,Yes,"Study data, code, or resources available at repository or project URL"
AB_2446,Yes,"Study data, code, or resources available at repository or project URL"
AB_2447,Yes,"Study data, code, or resources available at repository or project URL"
AB_2448,Yes,"Study data, code, or resources available at repository or project URL"
AB_2449,Yes,"Study data, code, or resources available at repository or project URL"
AB_2450,Yes,"Study data, code, or resources available at repository or project URL"
