NO,Result,Reason
AB_0671,Yes,Study data or code available at URL
AB_0672,No,URL explicitly refers to third-party registry without study outputs
AB_0673,Yes,Study data or code available at URL
AB_0674,Yes,Study data or code available at URL
AB_0675,Yes,Study data or code available at repository URL
AB_0676,Yes,Research-related materials plausibly available at URL
AB_0677,Yes,Study resources available at project website URL
AB_0678,Yes,Study data or code available at URL
AB_0679,Yes,Study data or code available at URL
AB_0680,Yes,Study data or code available at URL
