NO,Result,Reason
AB_2511,Yes,"Study data, code, or resources available at repository or project URL"
AB_2512,Yes,"Study data, code, or resources available at repository or project URL"
AB_2513,Yes,"Study data, code, or resources available at repository or project URL"
AB_2514,Yes,"Study data, code, or resources available at repository or project URL"
AB_2515,Yes,"Study data, code, or resources available at repository or project URL"
AB_2516,Yes,"Study data, code, or resources available at repository or project URL"
AB_2517,No URL found,No explicit http/https URL found
AB_2518,Yes,"Study data, code, or resources available at repository or project URL"
AB_2519,Yes,"Study data, code, or resources available at repository or project URL"
AB_2520,Yes,"Study data, code, or resources available at repository or project URL"
