NO,Result,Reason
AB_2041,Yes,Study-related resources indicated via URL
AB_2042,Yes,Study-related resources indicated via URL
AB_2043,Yes,Study-related resources indicated via URL
AB_2044,Yes,Study-related resources indicated via URL
AB_2045,Yes,Study-related resources indicated via URL
AB_2046,Yes,Study-related resources indicated via URL
AB_2047,Yes,Study-related resources indicated via URL
AB_2048,Yes,Study-related resources indicated via URL
AB_2049,Yes,Study-related resources indicated via URL
AB_2050,Yes,Study-related resources indicated via URL
