NO,Result,Reason
AB_0731,Yes,Study data or code available at repository URL
AB_0732,Yes,Research-related materials plausibly available at URL
AB_0733,No,URL explicitly refers to third-party registry without study outputs
AB_0734,Yes,Study data or code available at URL
AB_0735,No,URL explicitly refers to third-party registry without study outputs
AB_0736,Yes,Study data or code available at URL
AB_0737,No,URL explicitly refers to third-party registry without study outputs
AB_0738,Yes,Research-related materials plausibly available at URL
AB_0739,Yes,Study data or code available at URL
AB_0740,Yes,Study data or code available at URL
