NO,Result,Reason
AB_1951,Yes,Study-related resources indicated via URL
AB_1952,Yes,Study-related resources indicated via URL
AB_1953,Yes,Study-related resources indicated via URL
AB_1954,Yes,Study-related resources indicated via URL
AB_1955,Yes,Study-related resources indicated via URL
AB_1956,Yes,Study-related resources indicated via URL
AB_1957,Yes,Study-related resources indicated via URL
AB_1958,Yes,Study-related resources indicated via URL
AB_1959,Yes,Study-related resources indicated via URL
AB_1960,Yes,Study-related resources indicated via URL
