NO,Result,Reason
AB_3621,Yes,Study data or materials available at URL
AB_3622,Yes,Study data or materials available at URL
AB_3623,Yes,Study data or materials available at URL
AB_3624,Yes,Study data or materials available at URL
AB_3625,Yes,Study data or materials available at URL
AB_3626,Yes,Study data or materials available at URL
AB_3627,Yes,Study data or materials available at URL
AB_3628,Yes,Study data or materials available at URL
AB_3629,Yes,Study data or materials available at URL
AB_3630,Yes,Study data or materials available at URL
