NO,Result,Reason
AB_0921,Yes,Study data or code available at URL
AB_0922,Yes,Study data or code available at repository URL
AB_0923,Yes,Study data or code available at URL
AB_0924,No URL found,No explicit http/https URL found
AB_0925,Yes,Study data or code available at URL
AB_0926,Yes,Study data or code available at URL
AB_0927,Yes,Study resources available at project website URL
AB_0928,Yes,Study data or code available at URL
AB_0929,Yes,Study data or code available at repository URL
AB_0930,Yes,Study data or code available at URL
