NO,Result,Reason
AB_2791,Yes,"Study data, code, or resources available at repository or project URL"
AB_2792,Yes,"Study data, code, or resources available at repository or project URL"
AB_2793,Yes,"Study data, code, or resources available at repository or project URL"
AB_2794,Yes,"Study data, code, or resources available at repository or project URL"
AB_2795,Yes,"Study data, code, or resources available at repository or project URL"
AB_2796,Yes,"Study data, code, or resources available at repository or project URL"
AB_2797,Yes,"Study data, code, or resources available at repository or project URL"
AB_2798,Yes,"Study data, code, or resources available at repository or project URL"
AB_2799,Yes,"Study data, code, or resources available at repository or project URL"
AB_2800,Yes,"Study data, code, or resources available at repository or project URL"
