NO,Result,Reason
AB_2121,Yes,Study-related resources indicated via URL
AB_2122,Yes,Study-related resources indicated via URL
AB_2123,Yes,Study-related resources indicated via URL
AB_2124,Yes,Study-related resources indicated via URL
AB_2125,Yes,Study-related resources indicated via URL
AB_2126,Yes,Study-related resources indicated via URL
AB_2127,Yes,Study-related resources indicated via URL
AB_2128,Yes,Study-related resources indicated via URL
AB_2129,Yes,Study-related resources indicated via URL
AB_2130,Yes,Study-related resources indicated via URL
