NO,Result,Reason
AB_3871,Yes,Study data or materials available at URL
AB_3872,Yes,URL plausibly provides research-related outputs
AB_3873,Yes,Study data or materials available at URL
AB_3874,Yes,Study data or materials available at URL
AB_3875,Yes,Study data or materials available at URL
AB_3876,Yes,Study data or materials available at URL
AB_3877,No URL found,No explicit http/https URL found
AB_3878,Yes,Study data or materials available at URL
AB_3879,Yes,Study data or materials available at URL
AB_3880,Yes,Study data or materials available at URL
