NO,Result,Reason
AB_3201,Yes,Study data or materials available at URL
AB_3202,Yes,Study data or materials available at URL
AB_3203,Yes,Study data or materials available at URL
AB_3204,Yes,Study data or materials available at URL
AB_3205,Yes,Study data or materials available at URL
AB_3206,Yes,Study data or materials available at URL
AB_3207,Yes,Study data or materials available at URL
AB_3208,Yes,Study data or materials available at URL
AB_3209,No URL found,No explicit http/https URL found
AB_3210,Yes,Study data or materials available at URL
