NO,Result,Reason
AB_1141,Yes,URL plausibly provides research-related outputs
AB_1142,Yes,"Study data, code, or materials indicated at URL"
AB_1143,Yes,URL plausibly provides research-related outputs
AB_1144,Yes,"Study data, code, or materials indicated at URL"
AB_1145,Yes,"Study data, code, or materials indicated at URL"
AB_1146,Yes,"Study data, code, or materials indicated at URL"
AB_1147,Yes,URL plausibly provides research-related outputs
AB_1148,Yes,"Study data, code, or materials indicated at URL"
AB_1149,Yes,"Study data, code, or materials indicated at URL"
AB_1150,Yes,"Study data, code, or materials indicated at URL"
