NO,Result,Reason
AB_0831,Yes,Research-related materials plausibly available at URL
AB_0832,Yes,Research-related materials plausibly available at URL
AB_0833,No,URL explicitly refers to third-party registry without study outputs
AB_0834,Yes,Study data or code available at repository URL
AB_0835,Yes,Study data or code available at URL
AB_0836,Yes,Study data or code available at repository URL
AB_0837,Yes,Study data or code available at URL
AB_0838,Yes,Study data or code available at URL
AB_0839,Yes,Research-related materials plausibly available at URL
AB_0840,Yes,Study data or code available at URL
