NO,Result,Reason
AB_1761,No,"URL explicitly refers to registration record, not study outputs"
AB_1762,Yes,Study-related resources available at URL
AB_1763,Yes,Study code available at GitHub repository URL
AB_1764,Yes,Study code available at GitHub repository URL
AB_1765,No,"URL explicitly refers to registration record, not study outputs"
AB_1766,Yes,Study code available at GitHub repository URL
AB_1767,Yes,Study code available at GitHub repository URL
AB_1768,Yes,Study code available at GitHub repository URL
AB_1769,No,"URL explicitly refers to registration record, not study outputs"
AB_1770,Yes,Study code available at GitHub repository URL
