NO,Result,Reason
AB_2051,Yes,Study-related resources indicated via URL
AB_2052,Yes,Study-related resources indicated via URL
AB_2053,Yes,Study-related resources indicated via URL
AB_2054,Yes,Study-related resources indicated via URL
AB_2055,Yes,Study-related resources indicated via URL
AB_2056,Yes,Study-related resources indicated via URL
AB_2057,Yes,Study-related resources indicated via URL
AB_2058,Yes,Study-related resources indicated via URL
AB_2059,Yes,Study-related resources indicated via URL
AB_2060,Yes,Study-related resources indicated via URL
