NO,Result,Reason
AB_2381,Yes,"Study data, code, or resources available at repository or project URL"
AB_2382,Yes,"Study data, code, or resources available at repository or project URL"
AB_2383,Yes,"Study data, code, or resources available at repository or project URL"
AB_2384,Yes,"Study data, code, or resources available at repository or project URL"
AB_2385,Yes,"Study data, code, or resources available at repository or project URL"
AB_2386,Yes,"Study data, code, or resources available at repository or project URL"
AB_2387,Yes,"Study data, code, or resources available at repository or project URL"
AB_2388,Yes,"Study data, code, or resources available at repository or project URL"
AB_2389,Yes,"Study data, code, or resources available at repository or project URL"
AB_2390,Yes,"Study data, code, or resources available at repository or project URL"
