NO,Result,Reason
AB_3421,Yes,Study data or materials available at URL
AB_3422,Yes,Study data or materials available at URL
AB_3423,Yes,Study data or materials available at URL
AB_3424,Yes,Study data or materials available at URL
AB_3425,Yes,Study data or materials available at URL
AB_3426,Yes,Study data or materials available at URL
AB_3427,Yes,Study data or materials available at URL
AB_3428,Yes,Study data or materials available at URL
AB_3429,Yes,Study data or materials available at URL
AB_3430,Yes,Study data or materials available at URL
