NO,Result,Reason
AB_0271,Yes,Study data or materials available at repository URL
AB_0272,Yes,Study data or materials available at repository URL
AB_0273,Yes,Study data or materials available at repository URL
AB_0274,Yes,Study data or materials available at repository URL
AB_0275,Yes,Study data or materials available at repository URL
AB_0276,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0277,Yes,Study data or materials available at repository URL
AB_0278,Yes,Study data or materials available at repository URL
AB_0279,Yes,Study data or materials available at repository URL
AB_0280,Yes,Study data or materials available at repository URL
