NO,Result,Reason
AB_2601,Yes,"Study data, code, or resources available at repository or project URL"
AB_2602,Yes,"Study data, code, or resources available at repository or project URL"
AB_2603,Yes,"Study data, code, or resources available at repository or project URL"
AB_2604,Yes,"Study data, code, or resources available at repository or project URL"
AB_2605,Yes,"Study data, code, or resources available at repository or project URL"
AB_2606,Yes,"Study data, code, or resources available at repository or project URL"
AB_2607,Yes,"Study data, code, or resources available at repository or project URL"
AB_2608,Yes,"Study data, code, or resources available at repository or project URL"
AB_2609,Yes,"Study data, code, or resources available at repository or project URL"
AB_2610,Yes,"Study data, code, or resources available at repository or project URL"
