NO,Result,Reason
AB_2761,Yes,"Study data, code, or resources available at repository or project URL"
AB_2762,Yes,"Study data, code, or resources available at repository or project URL"
AB_2763,Yes,"Study data, code, or resources available at repository or project URL"
AB_2764,Yes,"Study data, code, or resources available at repository or project URL"
AB_2765,Yes,"Study data, code, or resources available at repository or project URL"
AB_2766,Yes,"Study data, code, or resources available at repository or project URL"
AB_2767,Yes,"Study data, code, or resources available at repository or project URL"
AB_2768,Yes,"Study data, code, or resources available at repository or project URL"
AB_2769,Yes,"Study data, code, or resources available at repository or project URL"
AB_2770,Yes,"Study data, code, or resources available at repository or project URL"
