NO,Result,Reason
AB_1261,Yes,"Study data, code, or materials indicated at URL"
AB_1262,Yes,"Study data, code, or materials indicated at URL"
AB_1263,Yes,"Study data, code, or materials indicated at URL"
AB_1264,Yes,"Study data, code, or materials indicated at URL"
AB_1265,Yes,"Study data, code, or materials indicated at URL"
AB_1266,Yes,"Study data, code, or materials indicated at URL"
AB_1267,Yes,URL plausibly provides research-related outputs
AB_1268,Yes,"Study data, code, or materials indicated at URL"
AB_1269,Yes,"Study data, code, or materials indicated at URL"
AB_1270,Yes,"Study data, code, or materials indicated at URL"
