NO,Result,Reason
AB_1281,Yes,URL plausibly provides research-related outputs
AB_1282,Yes,URL plausibly provides research-related outputs
AB_1283,Yes,"Study data, code, or materials indicated at URL"
AB_1284,Yes,URL plausibly provides research-related outputs
AB_1285,Yes,URL plausibly provides research-related outputs
AB_1286,No,URL links to general institutional or informational page without outputs
AB_1287,Yes,URL plausibly provides research-related outputs
AB_1288,Yes,"Study data, code, or materials indicated at URL"
AB_1289,Yes,URL plausibly provides research-related outputs
AB_1290,Yes,URL plausibly provides research-related outputs
