NO,Result,Reason
AB_1341,Yes,URL plausibly provides research-related outputs
AB_1342,Yes,"Study data, code, or materials indicated at URL"
AB_1343,Yes,"Study data, code, or materials indicated at URL"
AB_1344,Yes,"Study data, code, or materials indicated at URL"
AB_1345,Yes,"Study data, code, or materials indicated at URL"
AB_1346,Yes,"Study data, code, or materials indicated at URL"
AB_1347,Yes,"Study data, code, or materials indicated at URL"
AB_1348,Yes,"Study data, code, or materials indicated at URL"
AB_1349,Yes,"Study data, code, or materials indicated at URL"
AB_1350,Yes,"Study data, code, or materials indicated at URL"
