NO,Result,Reason
AB_3861,Yes,Study data or materials available at URL
AB_3862,Yes,Study data or materials available at URL
AB_3863,Yes,Study data or materials available at URL
AB_3864,Yes,Study data or materials available at URL
AB_3865,Yes,Study data or materials available at URL
AB_3866,Yes,Study data or materials available at URL
AB_3867,Yes,Study data or materials available at URL
AB_3868,Yes,Study data or materials available at URL
AB_3869,Yes,Study data or materials available at URL
AB_3870,Yes,Study data or materials available at URL
