NO,Result,Reason
AB_0771,Yes,Study data or code available at URL
AB_0772,Yes,Study data or code available at URL
AB_0773,Yes,Research-related materials plausibly available at URL
AB_0774,Yes,Research-related materials plausibly available at URL
AB_0775,Yes,Study resources available at project website URL
AB_0776,Yes,Research-related materials plausibly available at URL
AB_0777,Yes,Study data or code available at URL
AB_0778,Yes,Research-related materials plausibly available at URL
AB_0779,Yes,Research-related materials plausibly available at URL
AB_0780,Yes,Study data or code available at URL
