NO,Result,Reason
AB_0581,Yes,Study results provided via repository URL
AB_0582,No URL found,No explicit http/https URL found
AB_0583,No,URL links to peer review/publisher page without study outputs
AB_0584,No URL found,No explicit http/https URL found
AB_0585,No URL found,No explicit http/https URL found
AB_0586,No URL found,No explicit http/https URL found
AB_0587,Yes,Study code and trained networks available at repository URL
AB_0588,Yes,Study resources available at repository URL
AB_0589,Yes,Study code available at repository URL
AB_0590,Yes,Study software available at repository URL
