NO,Result,Reason
AB_1501,Yes,Study code available at GitHub repository URL
AB_1502,Yes,Study code available at GitHub repository URL
AB_1503,No,DOI URL refers only to the article itself
AB_1504,Yes,Study code available at GitHub repository URL
AB_1505,No,"URL explicitly refers to clinical trial registration, not study outputs"
AB_1506,No,"URL explicitly refers to clinical trial registration, not study outputs"
AB_1507,Yes,Study code available at GitHub repository URL
AB_1508,Yes,Study data and code available via DOI repository and GitHub URL
AB_1509,Yes,Study code available at GitHub repository URL
AB_1510,No,"URL links to Publons record, not study outputs"
