NO,Result,Reason
AB_3541,Yes,Study data or materials available at URL
AB_3542,Yes,Study data or materials available at URL
AB_3543,Yes,Study data or materials available at URL
AB_3544,Yes,Study data or materials available at URL
AB_3545,Yes,Study data or materials available at URL
AB_3546,Yes,Study data or materials available at URL
AB_3547,Yes,Study data or materials available at URL
AB_3548,Yes,Study data or materials available at URL
AB_3549,Yes,Study data or materials available at URL
AB_3550,Yes,Study data or materials available at URL
