NO,Result,Reason
AB_0471,Yes,Study data or materials available at repository URL
AB_0472,Yes,Study data or materials available at repository URL
AB_0473,Yes,Study data or materials available at repository URL
AB_0474,No URL found,No explicit http/https URL found
AB_0475,Yes,Study data or materials available at repository URL
AB_0476,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0477,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0478,Yes,Study data or materials available at repository URL
AB_0479,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0480,Yes,Study data or materials available at repository URL
