NO,Result,Reason
AB_3191,Yes,Study data or materials available at URL
AB_3192,Yes,Study data or materials available at URL
AB_3193,Yes,Study data or materials available at URL
AB_3194,Yes,Study data or materials available at URL
AB_3195,Yes,Study data or materials available at URL
AB_3196,Yes,Study data or materials available at URL
AB_3197,Yes,Study data or materials available at URL
AB_3198,No URL found,No explicit http/https URL found
AB_3199,Yes,Study data or materials available at URL
AB_3200,Yes,Study data or materials available at URL
