NO,Result,Reason
AB_3131,Yes,Study data or materials available at URL
AB_3132,Yes,Study data or materials available at URL
AB_3133,Yes,Study data or materials available at URL
AB_3134,No,URL present but no research outputs indicated
AB_3135,Yes,Study data or materials available at URL
AB_3136,Yes,Study data or materials available at URL
AB_3137,Yes,Study data or materials available at URL
AB_3138,Yes,Study data or materials available at URL
AB_3139,Yes,Study data or materials available at URL
AB_3140,Yes,Study data or materials available at URL
