NO,Result,Reason
AB_2571,Yes,"Study data, code, or resources available at repository or project URL"
AB_2572,Yes,"Study data, code, or resources available at repository or project URL"
AB_2573,Yes,"Study data, code, or resources available at repository or project URL"
AB_2574,Yes,"Study data, code, or resources available at repository or project URL"
AB_2575,Yes,"Study data, code, or resources available at repository or project URL"
AB_2576,Yes,"Study data, code, or resources available at repository or project URL"
AB_2577,Yes,"Study data, code, or resources available at repository or project URL"
AB_2578,Yes,"Study data, code, or resources available at repository or project URL"
AB_2579,No URL found,No explicit http/https URL found
AB_2580,Yes,"Study data, code, or resources available at repository or project URL"
