NO,Result,Reason
AB_3301,Yes,Study data or materials available at URL
AB_3302,Yes,Study data or materials available at URL
AB_3303,Yes,Study data or materials available at URL
AB_3304,Yes,Study data or materials available at URL
AB_3305,Yes,Study data or materials available at URL
AB_3306,Yes,Study data or materials available at URL
AB_3307,Yes,Study data or materials available at URL
AB_3308,Yes,Study data or materials available at URL
AB_3309,Yes,Study data or materials available at URL
AB_3310,Yes,Study data or materials available at URL
