NO,Result,Reason
AB_2631,Yes,"Study data, code, or resources available at repository or project URL"
AB_2632,No URL found,No explicit http/https URL found
AB_2633,Yes,"Study data, code, or resources available at repository or project URL"
AB_2634,Yes,"Study data, code, or resources available at repository or project URL"
AB_2635,Yes,"Study data, code, or resources available at repository or project URL"
AB_2636,Yes,"Study data, code, or resources available at repository or project URL"
AB_2637,Yes,"Study data, code, or resources available at repository or project URL"
AB_2638,Yes,"Study data, code, or resources available at repository or project URL"
AB_2639,No URL found,No explicit http/https URL found
AB_2640,Yes,"Study data, code, or resources available at repository or project URL"
