NO,Result,Reason
AB_1351,Yes,"Study data, code, or materials indicated at URL"
AB_1352,Yes,"Study data, code, or materials indicated at URL"
AB_1353,Yes,"Study data, code, or materials indicated at URL"
AB_1354,Yes,"Study data, code, or materials indicated at URL"
AB_1355,Yes,"Study data, code, or materials indicated at URL"
AB_1356,Yes,URL plausibly provides research-related outputs
AB_1357,Yes,"Study data, code, or materials indicated at URL"
AB_1358,Yes,"Study data, code, or materials indicated at URL"
AB_1359,Yes,"Study data, code, or materials indicated at URL"
AB_1360,Yes,"Study data, code, or materials indicated at URL"
