NO,Result,Reason
AB_3291,Yes,Study data or materials available at URL
AB_3292,Yes,Study data or materials available at URL
AB_3293,Yes,Study data or materials available at URL
AB_3294,Yes,Study data or materials available at URL
AB_3295,Yes,Study data or materials available at URL
AB_3296,Yes,Study data or materials available at URL
AB_3297,Yes,Study data or materials available at URL
AB_3298,No,URL present but no research outputs indicated
AB_3299,Yes,Study data or materials available at URL
AB_3300,Yes,Study data or materials available at URL
