NO,Result,Reason
AB_0781,Yes,Study data or code available at URL
AB_0782,Yes,Research-related materials plausibly available at URL
AB_0783,Yes,Research-related materials plausibly available at URL
AB_0784,Yes,Study data or code available at repository URL
AB_0785,Yes,Research-related materials plausibly available at URL
AB_0786,Yes,Study data or code available at repository URL
AB_0787,Yes,Study data or code available at URL
AB_0788,Yes,Study data or code available at URL
AB_0789,Yes,Research-related materials plausibly available at URL
AB_0790,Yes,Study data or code available at repository URL
