NO,Result,Reason
AB_1071,No URL found,No explicit http/https URL found
AB_1072,Yes,URL plausibly provides research-related outputs
AB_1073,Yes,"Study data, code, or materials indicated at URL"
AB_1074,Yes,"Study data, code, or materials indicated at URL"
AB_1075,Yes,URL plausibly provides research-related outputs
AB_1076,Yes,URL plausibly provides research-related outputs
AB_1077,Yes,URL plausibly provides research-related outputs
AB_1078,Yes,"Study data, code, or materials indicated at URL"
AB_1079,Yes,"Study data, code, or materials indicated at URL"
AB_1080,Yes,"Study data, code, or materials indicated at URL"
