NO,Result,Reason
AB_2451,Yes,"Study data, code, or resources available at repository or project URL"
AB_2452,Yes,"Study data, code, or resources available at repository or project URL"
AB_2453,Yes,"Study data, code, or resources available at repository or project URL"
AB_2454,Yes,"Study data, code, or resources available at repository or project URL"
AB_2455,Yes,"Study data, code, or resources available at repository or project URL"
AB_2456,Yes,"Study data, code, or resources available at repository or project URL"
AB_2457,Yes,"Study data, code, or resources available at repository or project URL"
AB_2458,Yes,"Study data, code, or resources available at repository or project URL"
AB_2459,Yes,"Study data, code, or resources available at repository or project URL"
AB_2460,Yes,"Study data, code, or resources available at repository or project URL"
